timestamp,hr,spo2,temp,acc_mag
1770614119367.7097,75.26132404181185,98,36.8,1.0
1770614175367.7097,75.0,98,36.8,1.0
1770614023367.7097,74.74048442906575,98,36.8,1.0
1770614273367.7097,75.26132404181185,98,36.8,1.0
1770614177367.7097,74.74048442906575,98,36.8,1.0
1770614235367.7097,72.24080267558529,98,36.8,1.0
1770613979367.7097,72.97297297297298,98,36.8,1.0
1770613983367.7097,75.26132404181185,98,36.8,1.0
1770614211367.7097,72.48322147651007,98,36.8,1.0
1770614165367.7097,72.72727272727273,98,36.8,1.0
1770614135367.7097,72.72727272727273,98,36.8,1.0
1770614091367.7097,73.72013651877133,98,36.8,1.0
1770613977367.7097,72.24080267558529,98,36.8,1.0
1770614341367.7097,76.32508833922262,98,36.8,1.0
1770614123367.7097,69.90291262135922,98,36.8,1.0
1770614105367.7097,74.48275862068965,98,36.8,1.0
1770614345367.7097,74.22680412371133,98,36.8,1.0
1770613995367.7097,75.26132404181185,98,36.8,1.0
1770614061367.7097,71.2871287128713,98,36.8,1.0
1770614095367.7097,71.76079734219269,98,36.8,1.0
1770613991367.7097,72.72727272727273,98,36.8,1.0
1770614127367.7097,76.05633802816902,98,36.8,1.0
1770614329367.7097,76.59574468085107,98,36.8,1.0
1770613997367.7097,77.9783393501805,98,36.8,1.0
1770614283367.7097,76.32508833922262,98,36.8,1.0
1770614207367.7097,75.78947368421053,98,36.8,1.0
1770614005367.7097,72.48322147651007,98,36.8,1.0
1770614137367.7097,72.0,98,36.8,1.0
1770614043367.7097,73.97260273972603,98,36.8,1.0
1770614219367.7097,80.0,98,36.8,1.0
1770614335367.7097,76.32508833922262,98,36.8,1.0
1770614103367.7097,76.32508833922262,98,36.8,1.0
1770614241367.7097,69.6774193548387,98,36.8,1.0
1770614169367.7097,70.81967213114754,98,36.8,1.0
1770614055367.7097,76.32508833922262,98,36.8,1.0
1770614191367.7097,77.14285714285714,98,36.8,1.0
1770614251367.7097,75.26132404181185,98,36.8,1.0
1770614015367.7097,75.78947368421053,98,36.8,1.0
1770614307367.7097,77.6978417266187,98,36.8,1.0
1770614249367.7097,76.05633802816902,98,36.8,1.0
1770614279367.7097,77.14285714285714,98,36.8,1.0
1770614049367.7097,72.48322147651007,98,36.8,1.0
1770614321367.7097,78.26086956521739,98,36.8,1.0
1770614001367.7097,73.72013651877133,98,36.8,1.0
1770614225367.7097,73.97260273972603,98,36.8,1.0
1770614167367.7097,70.58823529411765,98,36.8,1.0
1770614009367.7097,74.48275862068965,98,36.8,1.0
1770614059367.7097,74.48275862068965,98,36.8,1.0
1770614197367.7097,69.45337620578778,98,36.8,1.0
1770613973367.7097,70.12987012987013,98,36.8,1.0
1770614011367.7097,77.6978417266187,98,36.8,1.0
1770614343367.7097,75.78947368421053,98,36.8,1.0
1770614231367.7097,76.32508833922262,98,36.8,1.0
1770614209367.7097,72.97297297297298,98,36.8,1.0
1770613971367.7097,71.2871287128713,98,36.8,1.0
1770614121367.7097,73.22033898305085,98,36.8,1.0
1770614265367.7097,76.86832740213524,98,36.8,1.0
1770613955367.7097,76.05633802816902,98,36.8,1.0
1770613965367.7097,73.97260273972603,98,36.8,1.0
1770614051367.7097,72.72727272727273,98,36.8,1.0
1770614179367.7097,73.72013651877133,98,36.8,1.0
1770614087367.7097,76.05633802816902,98,36.8,1.0
1770614003367.7097,73.72013651877133,98,36.8,1.0
1770613963367.7097,71.2871287128713,98,36.8,1.0
1770613989367.7097,69.23076923076923,98,36.8,1.0
1770614285367.7097,73.22033898305085,98,36.8,1.0
1770614311367.7097,77.6978417266187,98,36.8,1.0
1770614195367.7097,73.22033898305085,98,36.8,1.0
1770614053367.7097,73.72013651877133,98,36.8,1.0
1770614245367.7097,74.74048442906575,98,36.8,1.0
1770614275367.7097,76.59574468085107,98,36.8,1.0
1770613947367.7097,73.72013651877133,98,36.8,1.0
1770614185367.7097,72.48322147651007,98,36.8,1.0
1770614133367.7097,72.48322147651007,98,36.8,1.0
1770613993367.7097,76.59574468085107,98,36.8,1.0
1770614039367.7097,77.14285714285714,98,36.8,1.0
1770614257367.7097,70.81967213114754,98,36.8,1.0
1770614337367.7097,80.0,98,36.8,1.0
1770614303367.7097,73.22033898305085,98,36.8,1.0
1770614147367.7097,75.26132404181185,98,36.8,1.0
1770614193367.7097,73.46938775510205,98,36.8,1.0
1770614205367.7097,75.0,98,36.8,1.0
1770614173367.7097,77.9783393501805,98,36.8,1.0
1770614153367.7097,70.81967213114754,98,36.8,1.0
1770614029367.7097,75.78947368421053,98,36.8,1.0
1770614331367.7097,72.0,98,36.8,1.0
1770613961367.7097,60.33519553072625,98,36.8,1.0
1770614085367.7097,76.59574468085107,98,36.8,1.0
1770613999367.7097,76.32508833922262,98,36.8,1.0
1770614319367.7097,75.0,98,36.8,1.0
1770614287367.7097,70.81967213114754,98,36.8,1.0
1770614333367.7097,73.46938775510205,98,36.8,1.0
1770614113367.7097,77.14285714285714,98,36.8,1.0
1770614305367.7097,74.48275862068965,98,36.8,1.0
